SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
205051101,9,4,12,13,8,27,0,0,3,0,0,0,4,0,4,2096,1843,3940,124,124,248,55,4,64,36,9,45,29,3,31,48,13,64,145,104,248,2558,2120,4683
205051102,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,612,539,1153,30,20,50,22,0,22,24,8,32,0,3,3,12,8,14,48,42,97,764,617,1378
205051103,4,3,4,20,3,21,0,0,0,0,0,0,7,11,15,2245,2010,4251,182,204,386,23,0,21,14,0,14,71,26,103,68,9,82,131,148,275,2770,2405,5173
205051104,0,4,4,5,0,5,0,0,0,0,0,0,0,0,0,660,591,1252,41,34,76,23,0,20,18,7,28,10,4,12,21,13,30,58,59,119,834,717,1546
206011105,718,687,1411,35,41,76,6,0,6,1054,1425,2477,15,20,35,2564,2242,4806,105,195,296,16,0,16,92,9,109,1081,757,1836,57,32,91,320,362,684,6060,5770,11827
206011106,42,45,87,20,28,46,0,0,0,737,1000,1735,9,8,22,1153,1090,2250,48,86,130,12,0,12,38,5,40,423,300,725,24,15,43,129,151,281,2628,2733,5370
206011107,119,129,246,26,46,73,0,0,0,566,639,1204,13,7,21,1661,1459,3124,80,135,218,14,0,14,46,18,63,385,236,617,18,21,40,74,119,191,2995,2803,5797
206011108,736,657,1395,65,86,149,0,4,4,510,735,1246,15,9,26,3365,2673,6038,140,236,379,37,3,39,75,8,88,518,287,808,49,21,69,147,193,341,5666,4914,10581
206011109,159,176,338,22,14,39,0,0,0,141,171,310,4,3,10,1552,1293,2851,85,110,198,24,0,28,22,0,23,80,29,107,16,6,30,33,24,64,2144,1839,3987
206021110,479,496,975,34,33,67,0,0,0,3,5,12,5,0,6,1156,1038,2193,48,89,140,15,0,15,21,4,28,201,97,303,18,11,30,61,87,149,2035,1877,3908
206021111,962,1061,2020,80,99,186,4,0,4,374,621,992,5,7,19,2613,2660,5272,96,192,288,20,0,20,68,9,86,774,514,1292,36,23,58,197,260,459,5236,5450,10683
206021112,451,441,895,71,66,140,3,0,3,308,479,790,10,5,14,2273,2218,4489,91,155,245,28,0,27,46,9,56,456,243,700,23,14,36,110,136,245,3862,3774,7637
206031113,432,426,858,5,20,32,0,0,0,166,269,436,15,8,19,2104,1744,3844,85,181,273,9,0,9,43,6,48,204,75,276,18,20,39,82,124,204,3170,2876,6044
206031114,768,751,1521,54,48,101,0,0,4,145,291,437,16,16,30,4465,3757,8220,198,354,550,48,4,46,60,3,70,148,43,188,41,27,68,130,164,294,6068,5462,11525
